               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093041,            0.040377,            0.061054,                   0,                   0,                   0,                   0,            0.036861,            0.033883,             0.02472,              0.0002,              0.0002,              0.0982
                   1,            0.092849,            0.039729,            0.061753,                   0,                   0,                   0,                   0,            0.035938,            0.032205,            0.024688,          0.00049505,          0.00049505,            0.095495
                   2,            0.079993,            0.038292,            0.061419,           0.0034364,             0.33333,            0.015794,           0.0031587,            0.031957,            0.030596,            0.024613,          0.00078416,          0.00078416,            0.092784
                   3,            0.071527,              0.0377,            0.058701,           0.0024876,             0.33333,           0.0051823,           0.0025911,            0.030041,            0.027296,            0.025369,           0.0010673,           0.0010673,            0.090067
                   4,            0.076032,            0.034381,            0.057612,           0.0039062,                0.25,            0.043283,           0.0044787,            0.034561,            0.025162,            0.023899,           0.0013446,           0.0013446,            0.087345
                   5,            0.070036,            0.034132,            0.065801,           0.0045577,             0.38333,            0.019575,           0.0043735,            0.032431,            0.022423,            0.023786,           0.0016158,           0.0016158,            0.084616
                   6,            0.061533,            0.030335,            0.061194,           0.0065804,                0.74,            0.070126,            0.010431,            0.026139,             0.02038,            0.024378,           0.0018812,           0.0018812,            0.081881
                   7,            0.048055,            0.030841,              0.0472,            0.007879,                0.87,            0.032731,            0.011073,            0.022005,            0.019286,            0.024689,           0.0021406,           0.0021406,            0.079141
                   8,            0.047154,            0.028213,            0.048341,           0.0083241,                0.95,             0.17581,            0.051088,            0.019826,            0.017442,            0.024353,           0.0023941,           0.0023941,            0.076394
                   9,            0.049599,            0.028517,            0.056254,            0.008591,                   1,             0.20894,            0.058878,            0.021104,            0.016159,            0.023924,           0.0026416,           0.0026416,            0.073642
                  10,            0.051589,            0.027927,            0.067398,            0.008945,                   1,               0.218,            0.051185,            0.020361,            0.014884,            0.023946,           0.0028832,           0.0028832,            0.070883
                  11,            0.054859,            0.028219,            0.053566,           0.0092092,                   1,             0.29436,             0.10465,            0.017064,            0.015069,            0.024006,           0.0031189,           0.0031189,            0.068119
                  12,            0.048748,            0.027676,            0.055177,           0.0095047,                   1,             0.19962,            0.075819,             0.01674,            0.013365,             0.02432,           0.0033486,           0.0033486,            0.065349
                  13,            0.041915,            0.022631,            0.045115,            0.078482,             0.53014,             0.23375,            0.094624,            0.022085,            0.012159,            0.023928,           0.0035723,           0.0035723,            0.062572
                  14,            0.040748,            0.025014,            0.046517,            0.099201,                0.42,             0.17117,            0.093626,            0.016562,            0.011495,            0.023191,           0.0037902,           0.0037902,             0.05979
                  15,            0.036183,            0.023175,            0.044921,             0.40961,             0.17344,             0.25769,             0.07811,            0.017488,            0.010992,            0.022868,           0.0040021,           0.0040021,            0.057002
                  16,            0.050462,            0.022607,            0.071968,             0.37818,                0.08,             0.12302,            0.047526,            0.018373,            0.010232,            0.023081,            0.004208,            0.004208,            0.054208
                  17,            0.036085,            0.019979,             0.04422,             0.06466,                0.21,            0.094573,            0.037173,            0.020347,           0.0095216,            0.023122,            0.004408,            0.004408,            0.051408
                  18,            0.033883,            0.024296,            0.043409,             0.01866,             0.30667,              0.1055,            0.033519,            0.018599,           0.0095208,            0.023414,           0.0046021,           0.0046021,            0.048602
                  19,            0.046582,            0.021021,            0.057531,            0.026451,                0.57,             0.10813,            0.046786,            0.018849,           0.0095368,            0.023317,           0.0047902,           0.0047902,             0.04579
                  20,            0.042494,            0.022477,            0.046444,            0.018988,                0.59,            0.094517,            0.041147,            0.016023,           0.0093607,            0.023213,           0.0049724,           0.0049724,            0.042972
                  21,             0.03657,             0.02203,             0.04226,            0.021076,                0.68,             0.11319,            0.042161,            0.017552,           0.0090627,            0.023089,           0.0051487,           0.0051487,            0.040149
                  22,            0.034842,            0.020074,             0.04247,            0.013021,                0.88,             0.14017,            0.077982,            0.016184,           0.0086154,            0.023118,            0.005319,            0.005319,            0.037319
                  23,             0.04757,            0.021359,            0.059814,             0.32311,             0.21664,             0.18204,            0.092999,            0.019002,           0.0091813,            0.023629,           0.0054833,           0.0054833,            0.034483
                  24,            0.054457,             0.02047,            0.055374,            0.010887,                0.96,             0.20106,            0.091071,            0.017831,           0.0087527,             0.02445,           0.0056418,           0.0056418,            0.031642
                  25,            0.037254,            0.019768,            0.042468,            0.011069,                0.96,             0.20213,             0.10051,            0.021486,           0.0078646,            0.024933,           0.0057942,           0.0057942,            0.028794
                  26,            0.059702,            0.021264,            0.054814,            0.010576,                0.92,             0.22022,              0.1236,            0.015999,           0.0080938,            0.024928,           0.0059408,           0.0059408,            0.025941
                  27,            0.050505,            0.020635,            0.050263,              0.0522,                0.68,             0.17511,            0.092253,            0.019852,           0.0077589,            0.024805,           0.0060814,           0.0060814,            0.023081
                  28,            0.051387,            0.020817,            0.047216,            0.010003,                0.96,             0.13887,            0.057067,            0.019986,           0.0092105,            0.024382,           0.0062161,           0.0062161,            0.020216
                  29,            0.049782,            0.020645,            0.046887,           0.0095962,                0.96,             0.16909,            0.085181,            0.019496,           0.0085015,            0.023799,           0.0063448,           0.0063448,            0.017345
                  30,            0.038528,            0.018168,            0.043053,            0.010774,                   1,             0.22244,            0.094684,            0.017724,            0.008043,             0.02392,           0.0064676,           0.0064676,            0.014468
                  31,            0.034272,             0.01992,            0.038379,           0.0090598,                0.76,               0.169,            0.086912,            0.024141,           0.0069262,            0.023564,           0.0065844,           0.0065844,            0.011584
                  32,            0.036471,             0.01939,            0.040295,            0.011726,                0.76,             0.17872,            0.075331,            0.018072,           0.0073327,            0.023406,           0.0066954,           0.0066954,           0.0086954
                  33,            0.036662,             0.01899,            0.048161,            0.011638,                   1,             0.12673,             0.05454,            0.022343,           0.0065291,            0.023515,            0.006733,            0.006733,            0.006733
                  34,            0.050495,            0.019761,            0.065739,            0.013795,                   1,             0.17749,            0.087841,            0.018958,           0.0071096,            0.023685,            0.006733,            0.006733,            0.006733
                  35,            0.037453,            0.018562,            0.049941,            0.010794,                0.87,             0.15979,            0.063791,             0.01768,           0.0076869,            0.023569,            0.006634,            0.006634,            0.006634
                  36,             0.04114,             0.01826,            0.048452,           0.0079918,                0.64,             0.12056,            0.050468,            0.022609,           0.0076109,            0.024124,            0.006535,            0.006535,            0.006535
                  37,            0.033954,            0.018011,            0.038819,            0.071169,                0.59,             0.15058,            0.066683,            0.017767,           0.0080798,            0.024062,            0.006436,            0.006436,            0.006436
                  38,            0.039984,            0.018182,            0.042649,            0.026897,                0.47,            0.097186,            0.049567,              0.0248,           0.0066842,            0.024478,            0.006337,            0.006337,            0.006337
                  39,            0.040622,            0.018991,            0.051284,             0.11734,                 0.3,             0.17144,            0.065774,            0.020096,           0.0073686,            0.024497,            0.006238,            0.006238,            0.006238
                  40,            0.040606,            0.018586,            0.039332,           0.0058969,                0.43,            0.074244,            0.022367,            0.027305,           0.0063687,            0.024211,            0.006139,            0.006139,            0.006139
                  41,            0.043736,            0.017702,            0.061643,           0.0056329,                0.42,             0.10563,            0.041078,            0.026914,           0.0065235,            0.024047,             0.00604,             0.00604,             0.00604
                  42,            0.057717,            0.018602,            0.039092,            0.039469,                0.21,            0.086991,            0.026235,            0.027828,           0.0080999,            0.023544,            0.005941,            0.005941,            0.005941
                  43,            0.042891,            0.020427,            0.045062,             0.47141,                0.08,            0.069158,            0.022865,            0.028007,           0.0088342,            0.022962,            0.005842,            0.005842,            0.005842
                  44,            0.034715,            0.018323,            0.044948,             0.28921,                0.16,             0.11062,            0.031042,            0.029039,           0.0086452,            0.022907,            0.005743,            0.005743,            0.005743
                  45,            0.031821,            0.017184,            0.035642,             0.33476,             0.23928,            0.089288,            0.022715,            0.026345,           0.0079575,            0.022975,            0.005644,            0.005644,            0.005644
                  46,            0.031563,            0.017654,             0.03538,            0.099036,                0.42,             0.15964,            0.045889,            0.022051,           0.0070486,            0.023258,            0.005545,            0.005545,            0.005545
                  47,            0.040549,            0.018696,            0.042171,             0.34124,             0.24426,             0.12474,            0.035666,            0.022108,           0.0070742,               0.023,            0.005446,            0.005446,            0.005446
                  48,            0.032378,            0.016702,            0.042108,             0.11658,                0.55,             0.17945,            0.057391,            0.018128,           0.0072693,            0.022928,            0.005347,            0.005347,            0.005347
                  49,            0.038625,            0.016296,            0.044233,             0.12128,                0.33,             0.14389,            0.055345,            0.016251,           0.0073897,            0.023284,            0.005248,            0.005248,            0.005248
                  50,            0.027926,            0.016479,            0.035816,             0.18017,             0.36907,             0.21331,            0.093466,            0.014447,           0.0072588,            0.022936,            0.005149,            0.005149,            0.005149
                  51,            0.029142,             0.01673,            0.033729,             0.13619,                0.29,             0.21777,            0.098561,            0.014138,            0.006865,            0.022994,             0.00505,             0.00505,             0.00505
                  52,            0.030179,            0.014759,            0.033121,              0.2928,                0.21,             0.24037,             0.10355,            0.013912,           0.0068222,             0.02316,            0.004951,            0.004951,            0.004951
                  53,            0.034801,            0.016761,            0.043418,             0.12928,             0.28671,             0.16951,             0.05992,            0.016695,           0.0070134,            0.022928,            0.004852,            0.004852,            0.004852
                  54,            0.033289,             0.01828,            0.038313,             0.12968,             0.29996,             0.19575,            0.085967,            0.013115,           0.0071233,            0.023224,            0.004753,            0.004753,            0.004753
                  55,            0.039089,            0.017597,             0.04995,            0.098597,                0.12,             0.13439,            0.049218,            0.019477,           0.0065718,             0.02372,            0.004654,            0.004654,            0.004654
                  56,            0.036405,            0.018194,            0.035548,             0.11936,                0.12,             0.21609,             0.10713,            0.012673,           0.0071173,            0.023835,            0.004555,            0.004555,            0.004555
                  57,            0.028958,            0.016435,            0.032195,            0.070762,             0.13721,             0.21585,            0.096476,            0.015033,           0.0068755,            0.023671,            0.004456,            0.004456,            0.004456
                  58,            0.027836,            0.017548,            0.032091,             0.07936,                0.12,             0.21185,             0.10364,             0.01339,           0.0069763,            0.023527,            0.004357,            0.004357,            0.004357
                  59,            0.044937,            0.017425,            0.045167,            0.097909,              0.1289,             0.16364,            0.054855,            0.016614,           0.0067634,            0.023235,            0.004258,            0.004258,            0.004258
                  60,            0.027117,            0.020292,            0.033443,             0.19401,                0.17,             0.21456,            0.088501,            0.012616,           0.0070676,            0.023263,            0.004159,            0.004159,            0.004159
                  61,            0.036631,            0.015983,            0.045769,            0.043584,            0.072255,             0.18518,            0.070454,            0.014214,           0.0065729,            0.023249,             0.00406,             0.00406,             0.00406
                  62,            0.024055,            0.017503,            0.031437,             0.22038,                0.04,             0.21233,               0.106,            0.013194,           0.0064766,             0.02313,            0.003961,            0.003961,            0.003961
                  63,            0.027196,            0.017404,            0.032687,            0.044801,                0.08,             0.10288,            0.042154,            0.014811,           0.0061894,            0.023712,            0.003862,            0.003862,            0.003862
                  64,            0.032304,            0.018133,            0.040913,             0.17509,                0.25,              0.1593,            0.073387,            0.012699,           0.0063792,            0.023765,            0.003763,            0.003763,            0.003763
                  65,            0.029585,            0.017223,            0.039847,            0.072371,             0.17551,             0.10825,            0.042521,            0.015452,           0.0060881,            0.023796,            0.003664,            0.003664,            0.003664
                  66,            0.051982,            0.017982,            0.041876,             0.14966,             0.31466,             0.15098,            0.071135,            0.013341,           0.0061043,            0.023811,            0.003565,            0.003565,            0.003565
                  67,            0.039303,            0.017922,            0.033952,            0.076999,                 0.2,             0.12739,            0.053751,            0.015364,           0.0058244,            0.023866,            0.003466,            0.003466,            0.003466
