               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.026528,            0.015877,            0.033321,             0.18508,             0.65651,             0.27086,             0.13132,            0.010074,            0.005235,            0.026388,              0.0002,              0.0002,              0.0982
                   1,            0.030313,            0.014528,            0.041571,             0.16842,             0.57741,             0.27213,             0.13442,            0.010155,           0.0052562,            0.026422,          0.00049505,          0.00049505,            0.095495
                   2,            0.029128,            0.014683,            0.033719,             0.17348,             0.58315,             0.27256,             0.13454,            0.010037,            0.005259,            0.026505,          0.00078416,          0.00078416,            0.092784
                   3,            0.028973,            0.016041,            0.031787,             0.17574,             0.58777,             0.25171,              0.1207,           0.0099238,            0.005268,            0.026529,           0.0010673,           0.0010673,            0.090067
                   4,            0.025781,            0.014402,             0.03476,             0.18026,             0.62258,             0.25659,             0.12736,           0.0097821,           0.0052658,            0.026694,           0.0013446,           0.0013446,            0.087345
                   5,            0.031566,             0.01643,            0.040296,               0.173,                0.59,             0.26337,             0.12372,            0.010126,           0.0052536,            0.026511,           0.0016158,           0.0016158,            0.084616
                   6,            0.029635,            0.013981,            0.030533,              0.1406,                0.25,             0.27563,             0.13677,            0.010297,           0.0052359,            0.025765,           0.0018812,           0.0018812,            0.081881
                   7,            0.019198,            0.015211,            0.022171,             0.14899,             0.26071,             0.27707,             0.13834,            0.010098,           0.0052339,            0.025542,           0.0021406,           0.0021406,            0.079141
                   8,            0.019999,            0.014572,            0.023767,             0.13799,             0.25836,             0.28258,              0.1365,            0.010178,           0.0051954,            0.025318,           0.0023941,           0.0023941,            0.076394
                   9,            0.025758,             0.01456,            0.029403,             0.14493,                0.26,             0.28003,             0.13733,           0.0099955,           0.0052448,            0.025304,           0.0026416,           0.0026416,            0.073642
                  10,            0.028283,            0.014772,            0.040403,             0.16847,             0.45563,             0.27322,             0.11224,            0.011688,            0.005051,            0.025297,           0.0028832,           0.0028832,            0.070883
                  11,            0.028853,            0.015826,             0.03138,             0.17677,             0.48104,              0.2772,             0.13059,            0.010263,           0.0050736,             0.02534,           0.0031189,           0.0031189,            0.068119
                  12,            0.029921,            0.016231,            0.027442,             0.15432,             0.39697,             0.27277,             0.11206,            0.012177,           0.0049103,            0.025384,           0.0033486,           0.0033486,            0.065349
                  13,            0.024997,            0.013539,            0.021775,             0.16115,                0.67,             0.28736,              0.1474,            0.011031,           0.0048954,            0.025417,           0.0035723,           0.0035723,            0.062572
                  14,            0.022626,            0.014958,            0.025249,             0.16918,                0.67,             0.28569,             0.12208,            0.011549,           0.0049807,            0.025591,           0.0037902,           0.0037902,             0.05979
                  15,            0.020962,            0.013911,            0.022282,             0.17913,             0.66297,             0.27303,             0.14808,            0.010199,           0.0050128,            0.025722,           0.0040021,           0.0040021,            0.057002
                  16,            0.035932,            0.013788,            0.042747,             0.16439,             0.50372,             0.26424,             0.12099,            0.011781,            0.005104,            0.026244,            0.004208,            0.004208,            0.054208
